iter	Passed	Remaining
0	45	15465
1	117	19931
2	173	19526
3	233	19598
4	283	18977
5	330	18382
6	377	17969
7	425	17649
8	485	17853
9	556	18354
10	602	18019
11	661	18075
12	721	18158
13	774	18037
14	820	17782
15	869	17607
16	918	17444
17	964	17249
18	1024	17316
19	1078	17255
20	1137	17273
21	1184	17120
22	1243	17138
23	1290	16995
24	1349	16999
25	1414	17079
26	1453	16844
27	1516	16901
28	1573	16873
29	1620	16742
30	1682	16773
31	1738	16729
32	1781	16571
33	1831	16485
34	1878	16372
35	1923	16239
36	1983	16245
37	2047	16275
38	2115	16330
39	2165	16244
40	2215	16155
41	2274	16140
42	2339	16157
43	2387	16059
44	2455	16095
45	2504	16005
46	2551	15904
47	2605	15852
48	2672	15869
49	2728	15822
50	2790	15813
51	2851	15795
52	2921	15821
53	2991	15841
54	3046	15787
55	3124	15845
56	3188	15831
57	3235	15729
58	3281	15626
59	3324	15512
60	3370	15414
61	3422	15344
62	3468	15250
63	3514	15158
64	3575	15128
65	3616	15015
66	3666	14938
67	3742	14971
68	3801	14932
69	3846	14835
70	3896	14764
71	3952	14713
72	3998	14624
73	4050	14560
74	4099	14486
75	4145	14400
76	4187	14302
77	4233	14220
78	4278	14134
79	4336	14094
80	4394	14051
81	4441	13975
82	4481	13875
83	4543	13847
84	4588	13764
85	4651	13738
86	4696	13657
87	4744	13585
88	4784	13494
89	4839	13443
90	4900	13410
91	4942	13322
92	5014	13317
93	5064	13253
94	5129	13228
95	5189	13190
96	5244	13137
97	5313	13120
98	5365	13062
99	5418	13005
100	5454	12907
101	5500	12834
102	5541	12750
103	5582	12667
104	5627	12595
105	5667	12510
106	5718	12453
107	5771	12398
108	5848	12395
109	5901	12339
110	5963	12302
111	6022	12260
112	6097	12248
113	6158	12209
114	6223	12177
115	6282	12131
116	6317	12041
117	6364	11974
118	6418	11920
119	6484	11887
120	6516	11794
121	6573	11745
122	6634	11705
123	6688	11650
124	6756	11621
125	6796	11543
126	6866	11515
127	6917	11456
128	6975	11409
129	7011	11326
130	7076	11290
131	7145	11259
132	7192	11194
133	7238	11127
134	7277	11050
135	7336	11004
136	7394	10957
137	7459	10918
138	7521	10876
139	7566	10809
140	7620	10755
141	7672	10698
142	7737	10659
143	7793	10607
144	7847	10553
145	7903	10502
146	7977	10474
147	8023	10408
148	8089	10370
149	8154	10329
150	8241	10315
151	8289	10253
152	8338	10191
153	8394	10139
154	8448	10084
155	8483	10005
156	8532	9945
157	8572	9874
158	8627	9821
159	8693	9780
160	8728	9704
161	8775	9641
162	8820	9577
163	8883	9533
164	8929	9471
165	8972	9405
166	9031	9356
167	9077	9293
168	9138	9246
169	9201	9201
170	9248	9140
171	9303	9087
172	9371	9046
173	9417	8984
174	9460	8919
175	9505	8857
176	9554	8798
177	9616	8751
178	9683	8709
179	9737	8655
180	9787	8598
181	9833	8536
182	9879	8475
183	9932	8420
184	9989	8369
185	10037	8310
186	10095	8260
187	10153	8209
188	10205	8153
189	10253	8095
190	10302	8036
191	10335	7967
192	10382	7907
193	10446	7861
194	10490	7800
195	10546	7748
196	10592	7689
197	10638	7629
198	10693	7576
199	10751	7525
200	10800	7469
201	10851	7413
202	10897	7354
203	10957	7305
204	11023	7259
205	11083	7209
206	11134	7153
207	11188	7100
208	11235	7042
209	11276	6980
210	11327	6925
211	11385	6874
212	11432	6816
213	11496	6768
214	11569	6726
215	11625	6673
216	11679	6620
217	11722	6560
218	11780	6509
219	11835	6455
220	11876	6395
221	11930	6341
222	12006	6299
223	12082	6257
224	12154	6212
225	12205	6156
226	12277	6111
227	12326	6055
228	12391	6006
229	12448	5953
230	12504	5900
231	12566	5849
232	12648	5808
233	12711	5758
234	12776	5708
235	12835	5656
236	12886	5600
237	12933	5542
238	13000	5493
239	13061	5442
240	13128	5393
241	13189	5341
242	13235	5283
243	13282	5225
244	13333	5170
245	13386	5115
246	13422	5053
247	13487	5003
248	13533	4945
249	13593	4893
250	13635	4835
251	13684	4778
252	13733	4722
253	13778	4665
254	13823	4607
255	13869	4550
256	13907	4491
257	13984	4444
258	14033	4388
259	14099	4338
260	14161	4286
261	14208	4230
262	14243	4170
263	14305	4118
264	14343	4059
265	14402	4006
266	14459	3953
267	14505	3897
268	14566	3844
269	14631	3793
270	14675	3736
271	14735	3683
272	14789	3629
273	14849	3576
274	14930	3529
275	15003	3479
276	15057	3424
277	15104	3368
278	15151	3312
279	15185	3254
280	15240	3199
281	15296	3146
282	15340	3089
283	15403	3037
284	15450	2981
285	15507	2928
286	15571	2875
287	15631	2822
288	15688	2768
289	15765	2718
290	15807	2661
291	15866	2608
292	15914	2552
293	15967	2498
294	16036	2446
295	16091	2391
296	16138	2336
297	16185	2281
298	16249	2228
299	16306	2174
300	16372	2121
301	16417	2065
302	16471	2011
303	16522	1956
304	16571	1901
305	16607	1845
306	16688	1793
307	16735	1738
308	16795	1685
309	16841	1629
310	16891	1575
311	16966	1522
312	17024	1468
313	17089	1415
314	17157	1361
315	17215	1307
316	17256	1252
317	17324	1198
318	17373	1143
319	17449	1090
320	17512	1036
321	17574	982
322	17636	928
323	17701	874
324	17747	819
325	17799	764
326	17868	710
327	17924	655
328	17985	601
329	18025	546
330	18074	491
331	18120	436
332	18190	382
333	18237	327
334	18302	273
335	18348	218
336	18414	163
337	18467	109
338	18527	54
339	18587	0
